CuvgID,team,forces,cuvgFunctions,location,timestampNMCSStart,logisticsMissionID,timestampNMCSEnd,durationNMCS
"41959","Blue","Marine_Corps","[GroundTransport]","(88.29405265620812, -2.4784738820769263)","0","Unknown","3600","3600"
"43139","Blue","Marine_Corps","[GroundTransport]","(88.29405265620812, -2.4784738820769263)","0","Unknown","3600","3600"
"45456","Blue","Air_Force","[AerialResupply]","(88.29405265620812, -2.4784738820769263)","0","Unknown","3600","3600"
"44818","Blue","Air_Force","[AerialTransport]","(82.58915422450667, 1.3304374788437485)","0","Unknown","3600","3600"
"11667","Blue","Army","[GroundTransport, GroundUtility, GroundAttackMissile]","(71.15144587532109, -8.584869687087902)","0","Unknown","3600","3600"
"14653","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(71.15144587532109, -8.584869687087902)","0","Unknown","3600","3600"
"20061","Blue","Army","[GroundTransport]","(71.15144587532109, -8.584869687087902)","0","Unknown","3600","3600"
"24153","Blue","Army","[GroundTransport, GroundUtility, GroundResupply]","(71.15144587532109, -8.584869687087902)","0","Unknown","3600","3600"
"27435","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(71.15144587532109, -8.584869687087902)","0","Unknown","3600","3600"
"32105","Blue","Army","[GroundTransport]","(71.15144587532109, -8.584869687087902)","0","Unknown","3600","3600"
"45177","Blue","Air_Force","[AerialTransport]","(71.15144587532109, -8.584869687087902)","0","Unknown","3600","3600"
"44827","Blue","Air_Force","[AerialResupply]","(77.11407944245718, -11.234607925227522)","0","Unknown","3600","3600"
"11797","Blue","Army","[GroundTransport, GroundUtility, GroundAttackMissile, GroundRescue]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"14672","Blue","Army","[GroundTransport, GroundAttackMissile, GroundResupply]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"20135","Blue","Army","[GroundTransport]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"24450","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundRescue]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"27455","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"32135","Blue","Army","[GroundTransport, GroundAttack]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"41586","Blue","Marine_Corps","[GroundTransport]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"42982","Blue","Marine_Corps","[GroundTransport]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"45184","Blue","Air_Force","[AerialTransport]","(107.72980634232692, -19.625338040865387)","0","Unknown","3600","3600"
"10696","Blue","Army","[GroundTransport, GroundAttack]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"13978","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"18172","Blue","Army","[GroundTransport, GroundAttack]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"23496","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"26591","Blue","Army","[GroundTransport, GroundUtility, GroundRescue]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"30222","Blue","Army","[AerialGroundRotaryAttack, AerialAttackGroundRotary]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"30247","Blue","Army","[GroundTransport, GroundUtility, GroundResupply]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"36343","Blue","Army","[GroundAttackAir]","(90.58712044119414, -7.189212070926743)","0","Unknown","3600","3600"
"44847","Blue","Air_Force","[AerialTransport]","(109.89766063743747, -17.031571943681314)","0","Unknown","3600","3600"
"45192","Blue","Air_Force","[AerialTransport]","(113.96605983320109, -5.916219522664832)","0","Unknown","3600","3600"
"10783","Blue","Army","[GroundTransport, GroundUtility]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"14007","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"18252","Blue","Army","[GroundTransport, GroundAttack]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"23515","Blue","Army","[GroundTransport, GroundAttackMissile, GroundResupply]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"26621","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"30316","Blue","Army","[GroundTransport, GroundResupply]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"36345","Blue","Army","[GroundAttackAir]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"41365","Blue","Marine_Corps","[GroundTransport]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"42741","Blue","Marine_Corps","[GroundTransport]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"44856","Blue","Air_Force","[AerialTransport, AerialAttackGroundRotary, AerialResupply]","(83.0265738609632, -4.545546994565683)","0","Unknown","3600","3600"
"45199","Blue","Air_Force","[AerialTransport]","(74.50206400317424, -7.551425137362642)","0","Unknown","3600","3600"
"10804","Blue","Army","[GroundTransport]","(97.06195423215962, -10.446976649605702)","0","Unknown","3600","3600"
"14042","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","(97.06195423215962, -10.446976649605702)","0","Unknown","3600","3600"
"18332","Blue","Army","[GroundTransport, GroundAttack]","(97.06195423215962, -10.446976649605702)","0","Unknown","3600","3600"
"23614","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","(97.06195423215962, -10.446976649605702)","0","Unknown","3600","3600"
"26669","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","(97.06195423215962, -10.446976649605702)","0","Unknown","3600","3600"
"30441","Blue","Army","[GroundTransport, GroundResupply]","(97.06195423215962, -10.446976649605702)","0","Unknown","3600","3600"
"37205","Blue","Navy","[MarineAttackLarge]","(-49.599552147555244, 7.293558980082423)","0","Unknown","3600","3600"
"37461","Blue","Navy","[MarineTransportMed, MarineLandingMed]","(-49.599552147555244, 7.293558980082423)","0","Unknown","3600","3600"
"37497","Blue","Navy","[MarineResupplyPort]","(-49.599552147555244, 7.293558980082423)","0","Unknown","3600","3600"
"37921","Blue","Navy","[MarineTransportLarge]","(-49.599552147555244, 7.293558980082423)","0","Unknown","3600","3600"
"37925","Blue","Navy","[MarineLandingMed]","(-49.599552147555244, 7.293558980082423)","0","Unknown","3600","3600"
"37929","Blue","Navy","[MarineTransportLarge]","(-49.599552147555244, 7.293558980082423)","0","Unknown","3600","3600"
"45217","Blue","Air_Force","[AerialTransport]","(98.85406572381271, 5.609042324862628)","0","Unknown","3600","3600"
"11923","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"14807","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"20271","Blue","Army","[GroundTransport]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"24537","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"27574","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"32295","Blue","Army","[GroundTransport]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"41645","Blue","Marine_Corps","[GroundTransport]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"42999","Blue","Marine_Corps","[GroundTransport]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"45224","Blue","Air_Force","[AerialTransport]","(95.5195870467586, -17.953436212225284)","0","Unknown","3600","3600"
"12550","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(104.03616822198143, -13.692720853365387)","0","Unknown","3600","3600"
"15623","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","(104.03616822198143, -13.692720853365387)","0","Unknown","3600","3600"
"21980","Blue","Army","[GroundTransport, GroundResupply]","(104.03616822198143, -13.692720853365387)","0","Unknown","3600","3600"
"25331","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(104.03616822198143, -13.692720853365387)","0","Unknown","3600","3600"
"28170","Blue","Army","[GroundTransport, GroundUtility]","(104.03616822198143, -13.692720853365387)","0","Unknown","3600","3600"
"34018","Blue","Army","[GroundTransport]","(104.03616822198143, -13.692720853365387)","0","Unknown","3600","3600"
"2620","Blue","Army","[GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2701","Blue","Army","[GroundTransport, GroundResupply]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2739","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2759","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2779","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2799","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2851","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2870","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2889","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2908","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2960","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2979","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"2998","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3017","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3069","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3088","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3107","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3126","Blue","Army","[GroundTransport]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3147","Blue","Army","[GroundTransport, GroundRecon]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3180","Blue","Army","[GroundTransport, GroundEngineer, GroundAttackMissile, GroundAttack]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3219","Blue","Army","[GroundTransport, GroundEngineer, GroundIntel, GroundAttackMissile, GroundAttack]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3256","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundRescue]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3313","Blue","Army","[GroundTransport, GroundUtility, GroundRescue]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3343","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3391","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3439","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundRescue]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3480","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3528","Blue","Army","[GroundTransport, GroundRescue]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3561","Blue","Army","[GroundTransport, GroundUtility, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3599","Blue","Army","[DistributionCompany, GroundUtility, GroundTransport, GroundResupply, GroundEngineer]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3670","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3699","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3734","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3769","Blue","Army","[GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3850","Blue","Army","[GroundTransport, GroundResupply]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3888","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3908","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3928","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"3948","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"4000","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"4019","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"4038","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
"4057","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","(-35.410693696897994, -8.371301915011259)","0","Unknown","3600","3600"
